CODIGO;DESCRIPCION;EXISTENCIA;PRECIO
04311-12080N;KIT REP. CENTRAL CLUCHT 5/8 TOYOTA 89-95;441.00;20.00
04311-12080Y;KIT CENTRAL CLUCHT 5/8 TOYOTA 89-95 Y;4.00;37.00
04311-20050N;KIT REP. CENTRAL DE CLUCHT TOY 5/8;439.00;15.00
04311-20050Y;KIT CENTRAL DE CLUCHT TOY 5/8Y;2.00;29.00
04313-30050Y;KIT REP. BOM.AUXILIAR DE CLUTCH TOYOTA HILUX 3/4;4.00;21.00
04313-36020N;KIT REP. AUXILIAR CLUCHT 13/16 TOYOTA =04313-30100;447.00;12.00
04313-36020Y;KIT REP. AUXILIAR CLUCHT 13/16 TOYOTA=04313-30100;1.00;20.00
04493-14050;KIT REP. BOMBA CENTRAL FRENO 13-16 TYT HI-LUX;4.00;115.00
04493-35050FV;KIT REP. BOMBA C.FRENOS 15-16 HILUX 78--;1.00;65.00
04493-35290;KIT CENTRAL FRENO 1 TOYOTA 89-;8.00;89.00
12303-67021N;CARGADOR DE MOTO HI-ACE 5L 92-05;28.00;105.00
12305-27040N;CARGADOR DE MOTOR RAV4 94-00 2.0 01-05 12362-74392;43.00;200.00
12305-28060N;CARGADOR DE MOTOR  RAV4 96-00 DEL.DER.;17.00;285.00
12305-28230N;CARGADOR DE MOTOR RAV 4 2.4L 06-DEL. DER.;17.00;265.00
12361-0C021N;CARGADOR DE MOTOR HILUX VIGO 05- 12361-0C021/12361-0C010;42.00;70.00
12361-0D050;CARGADOR DE MOTOR COROLLA;1.00;95.00
12361-21020N;CARGADOR DE MOTOR RAV 4 01-05 DEL.;33.00;100.00
12361-28060N;CARGADOR DE MOTOR  TYT CAMRY 07-11 12309-28161 12361-28060 ;45.00;65.00
12361-28230N;CARGADOR DE MOTOR RAV4 2.4L 06-08;39.00;105.00
12361-35050;CARGADOR DE MOTOR DE 22R;23.00;55.00
12361-38060N;CARGADOR DE MOTOR TOYOTA PICK -UP 2WD 84-89;142.00;56.00
12361-39018N;CARGADOR DE MOTOR TOYOTA PICK-UP 72-83;38.00;65.00
12361-54020N;CARGADOR DE MOTOR DEL. HILUX RN30 78-81;46.00;65.00
12361-54120N;CARGADOR DE MOTOR HILUX 4WD LN 65-88 LATERAL R/L;24.00;55.00
12361-54140N;CARGADOR DE MOTOR R/L HILUX, HIACE, LN40 88-93;32.00;55.00
12361-65010N;CARGADOR DE MOTOR HILUX 90-95,TACOMA 2.4L 95-04 2WD;74.00;90.00
12371-21020N;CARGADOR DE MOTOR COROLLA , YARIS 00-05 TRASERO;37.00;130.00
12371-28020N;CARGADOR DE MOTOR RAV 4 01-05 TRAS. TUERCA;39.00;155.00
12371-28190N;CARGADOR DE MOTOR RAV4 2.4L 06- TRAS. DER.;39.00;190.00
12371-31020N;CARGADOR DE  CAJA PICK-UP 76-78;44.00;103.00
12371-35030N;CARGADOR DE CAJA, LAND CRUISER BJ70 12371-35030 NEXG.;49.00;125.00
12371-35050N;CARGADOR DE CAJA 4RUNNER 86-94 ,PICK-UP 22R 86-9512371-35050 NEXG.;2.00;131.00
12371-54050N;CARGADOR DE CAJA 4WD RN50 84-89 NEXG.;61.00;125.00
12372-0H180N;CARGADOR DE MOTOR RAV 4 06-;28.00;220.00
12372-23010N;CARGADOR DE MOTOR YARIS 00-05 IQZ. INFERIOR;38.00;90.00
12372-28031N;CARGADOR DE MOTOR RAV4 TRANS AUTOMATICA IZQ. 01-05 (12372-28041);40.00;200.00
16571-33011;MANGUERA RADIADOR TOYOTA INF. 22R JD4560;12.00;39.00
16571-33011N;MANGUERA RADIADOR TOYOTA INF. 22R JD4560;209.00;39.00
16572-35060N;MANGUERA PARA RADIADOR TOYOTA 22R INFERIOR JDA0138;232.00;29.00
16573-38020;MANGUERA DE RADIADOR TOYOTA HI-LUX 89- ABAJO;20.00;29.00
16573-38020N;MANGUERA DE RADIADOR TOYOTA HI-LUX 89- ABAJO;402.00;29.00
17228-PNE-G00N;MANGUERA PASO DE AIRE CR-V 02-04;71.00;75.00
