CODIGO;DESCRIPCION;EXISTENCIA;PRECIO;EMPRESA
001100;DESCUENTO DE MERCADERIA;6.00 ;1.0000 ;SURJA
04311-12080N;KIT REP. CENTRAL CLUCHT 5/8 TOYOTA 89-95;434.00 ;20.0000 ;SURJA
04311-12080Y;KIT CENTRAL CLUCHT 5/8 TOYOTA 89-95 Y;0.00 ;33.0000 ;SURJA
04311-20050N;KIT REP. CENTRAL DE CLUCHT TOY 5/8;432.00 ;15.0000 ;SURJA
04311-20050Y;KIT CENTRAL DE CLUCHT TOY 5/8Y;0.00 ;24.0000 ;SURJA
04313-30050Y;KIT REP. BOM.AUXILIAR DE CLUTCH TOYOTA HILUX 3/4;0.00 ;15.0000 ;SURJA
04313-36020N;KIT REP. AUXILIAR CLUCHT 13/16 TOYOTA =04313-30100;398.00 ;12.0000 ;SURJA
04313-36020Y;KIT REP. AUXILIAR CLUCHT 13/16 TOYOTA 04313-30100Y;0.00 ;15.0000 ;SURJA
04493-14050;KIT REP. BOMBA CENTRAL FRENO 13-16 TYT HI-LUX;0.00 ;115.0000 ;SURJA
04493-30030;KIT REPARACION BCF 7/8 TOYOTA HI-LUX;0.00 ;88.0000 ;SURJA
04493-35290;KIT CENTRAL FRENO 1 TOYOTA 89-;0.00 ;89.0000 ;SURJA
0839-89-431B;KIT REP. BOM. CENTRAL DE CLUTCH MAZDA PICK-UP 5/8;0.00 ;22.0000 ;SURJA
101-6;TEE MIXTA GOLLETE 3/8;0.00 ;48.2200 ;SURJA
105S-6;TUERCA CORTA ACERO;0.00 ;8.0500 ;SURJA
109-8;TAPON MACHO CAÑERIA 1/2;0.00 ;17.5900 ;SURJA
110-62;REDUCIDOR BUCHING 3/8*1/8;0.00 ;7.0000 ;SURJA
110-82;REDUCIDOR BUCHING 1/2*1/8;0.00 ;13.4900 ;SURJA
110-84;REDUCIDOR BUCHING 1/2*1/4;0.00 ;13.5800 ;SURJA
116-4;"CODO DE BRONCE 1/4""";0.00 ;18.8900 ;SURJA
116-42;"CODO DE BRONCE 1/4""*1/8""";0.00 ;19.5100 ;SURJA
116-6;"CODO DE BRONCE 3/8""";0.00 ;18.4000 ;SURJA
116-8;"CODO DE BRONCE 1/2""";0.00 ;32.5400 ;SURJA
12303-67021N;CARGADOR DE MOTO HI-ACE 5L 92-05;14.00 ;105.0000 ;SURJA
12305-27040N;CARGADOR DE MOTOR RAV4 94-00 2.0 01-05 12362-74392;41.00 ;200.0000 ;SURJA
